HOME_TEAM,AWAY_TEAM,SEASON,DATE,REFEREE,DIFF_HA_LAST_5_HOME_WINS,DIFF_HA_LAST_5_HOME_DRAWS,DIFF_HA_LAST_5_HOME_LOSSES,DIFF_HA_LAST_5_AWAY_WINS,DIFF_HA_LAST_5_AWAY_DRAWS,DIFF_HA_LAST_5_AWAY_LOSSES,DIFF_HA_LAST_5_WINS,DIFF_HA_LAST_5_DRAWS,DIFF_HA_LAST_5_LOSSES,DIFF_HA_GD_LAST_5,DIFF_HA_PTS_THIS_SEASON,DIFF_HA_CURRENT_POSITION,DIFF_HA_SHOTS_LAST_5,DIFF_HA_SHOTS_ON_TARGET_LAST_5,HOME_TEAM_BIG_6_FLAG,AWAY_TEAM_BIG_6_FLAG,HOME_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,AWAY_TEAM_PROMOTED_FROM_LAST_SEASON_FLAG,SEASON_MONTH_NUM,HOME_TEAM_GAME_NUM,AWAY_TEAM_GAME_NUM,RESULT,FTHG,FTAG,DIFF_HA_FT_GOALS,TOT_GOALS
Newcastle,Southampton,2014/2015,2015-01-17,R Madley,1.0,0.0,-1.0,-1.0,0.0,1.0,-3.0,0.0,3.0,-12.0,-12.0,7,2.0,9.0,0,0,0,0,6,22,22,Home Loss,1.0,2.0,-1.0,3.0
QPR,Southampton,2014/2015,2015-02-07,R East,0.0,1.0,-1.0,-3.0,0.0,3.0,-3.0,1.0,2.0,-8.0,-23.0,14,33.0,7.0,0,0,1,0,7,24,24,Home Loss,0.0,1.0,-1.0,1.0
Stoke,Southampton,2014/2015,2015-04-18,M Clattenburg,1.0,-1.0,0.0,0.0,0.0,0.0,-2.0,0.0,2.0,-5.0,-13.0,4,-13.0,-4.0,0,0,0,0,9,33,33,Home Win,2.0,1.0,1.0,3.0
West Brom,Southampton,2014/2015,2015-02-28,P Dowd,1.0,-2.0,1.0,-4.0,3.0,1.0,-1.0,2.0,-1.0,0.0,-19.0,9,-24.0,-12.0,0,0,0,0,7,27,27,Home Win,1.0,0.0,1.0,1.0
Man City,Southampton,2014/2015,2015-05-24,C Foy,2.0,-1.0,-1.0,1.0,-1.0,0.0,4.0,-1.0,-3.0,11.0,16.0,-5,25.0,7.0,1,0,0,0,10,38,38,Home Win,2.0,0.0,2.0,2.0
Arsenal,Southampton,2014/2015,2014-12-03,A Marriner,-4.0,3.0,1.0,-1.0,0.0,1.0,0.0,-1.0,1.0,3.0,-6.0,4,23.0,17.0,1,0,0,0,5,14,14,Home Win,1.0,0.0,1.0,1.0
Aston Villa,Southampton,2014/2015,2014-11-24,P Dowd,-3.0,0.0,3.0,-1.0,0.0,1.0,-4.0,1.0,3.0,-19.0,-14.0,13,-20.0,-11.0,0,0,0,0,4,12,12,Draw,1.0,1.0,0.0,2.0
Chelsea,Southampton,2014/2015,2015-03-15,M Dean,2.0,0.0,-2.0,-1.0,1.0,0.0,1.0,1.0,-2.0,4.0,14.0,-6,-23.0,0.0,1,0,0,0,8,28,29,Draw,1.0,1.0,0.0,2.0
Everton,Southampton,2014/2015,2015-04-04,L Mason,-1.0,3.0,-2.0,-2.0,-1.0,3.0,0.0,0.0,0.0,0.0,-19.0,6,-21.0,4.0,0,0,0,0,9,31,31,Home Win,1.0,0.0,1.0,1.0
Sunderland,Southampton,2014/2015,2015-05-02,M Jones,-2.0,0.0,2.0,-1.0,1.0,0.0,-1.0,0.0,1.0,-9.0,-27.0,11,-3.0,-2.0,0,0,0,0,10,34,35,Home Win,2.0,1.0,1.0,3.0
Man United,Southampton,2014/2015,2015-01-11,P Dowd,3.0,-1.0,-2.0,0.0,1.0,-1.0,-1.0,2.0,-1.0,-1.0,1.0,-1,-10.0,6.0,1,0,0,0,6,21,21,Home Loss,0.0,1.0,-1.0,1.0
Crystal Palace,Southampton,2014/2015,2014-12-26,M Dean,-2.0,1.0,1.0,-1.0,2.0,-1.0,-1.0,3.0,-2.0,-1.0,-14.0,12,0.0,2.0,0,0,0,0,5,18,18,Home Loss,1.0,3.0,-2.0,4.0
Leicester,Southampton,2014/2015,2015-05-09,R East,0.0,0.0,0.0,1.0,0.0,-1.0,3.0,-1.0,-2.0,6.0,-23.0,11,9.0,5.0,0,0,1,0,10,36,36,Home Win,2.0,0.0,2.0,2.0
Burnley,Southampton,2014/2015,2014-12-13,M Clattenburg,-3.0,2.0,1.0,-1.0,1.0,0.0,1.0,1.0,-2.0,3.0,-14.0,14,-10.0,-3.0,0,0,1,0,5,16,16,Home Win,1.0,0.0,1.0,1.0
Newcastle,Aston Villa,2014/2015,2015-02-28,L Mason,1.0,-1.0,0.0,1.0,1.0,-2.0,1.0,2.0,-3.0,8.0,10.0,-7,4.0,0.0,0,0,0,0,7,27,27,Home Win,1.0,0.0,1.0,1.0
West Brom,Aston Villa,2014/2015,2014-12-13,M Dean,-1.0,1.0,0.0,1.0,-2.0,1.0,-2.0,-2.0,4.0,-8.0,-5.0,6,-5.0,-10.0,0,0,0,0,5,16,16,Home Win,1.0,0.0,1.0,1.0
Man City,Aston Villa,2014/2015,2015-04-25,M Dean,3.0,1.0,-4.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-1.0,32.0,-11,53.0,8.0,1,0,0,0,9,34,34,Home Win,3.0,2.0,1.0,5.0
Arsenal,Aston Villa,2014/2015,2015-02-01,A Taylor,3.0,-4.0,1.0,1.0,0.0,-1.0,4.0,-2.0,-2.0,9.0,17.0,-10,4.0,13.0,1,0,0,0,7,23,23,Home Win,5.0,0.0,5.0,5.0
Sunderland,Aston Villa,2014/2015,2015-03-14,N Swarbrick,1.0,-1.0,0.0,0.0,2.0,-2.0,-1.0,3.0,-2.0,0.0,1.0,-1,-4.0,-4.0,0,0,0,0,8,29,29,Home Loss,0.0,4.0,-4.0,4.0
Swansea,Aston Villa,2014/2015,2014-12-26,R East,2.0,0.0,-2.0,-1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,5.0,-4,19.0,-4.0,0,0,0,0,5,18,18,Home Win,1.0,0.0,1.0,1.0
Man United,Aston Villa,2014/2015,2015-04-04,R East,3.0,-1.0,-2.0,1.0,2.0,-3.0,2.0,0.0,-2.0,4.0,31.0,-12,18.0,1.0,1,0,0,0,9,31,31,Home Win,3.0,1.0,2.0,4.0
Tottenham,Aston Villa,2014/2015,2015-04-11,L Probert,3.0,1.0,-4.0,1.0,0.0,-1.0,1.0,0.0,-1.0,-2.0,25.0,-10,-7.0,-8.0,1,0,0,0,9,32,33,Home Loss,0.0,1.0,-1.0,1.0
Southampton,Aston Villa,2014/2015,2015-05-16,R Madley,1.0,0.0,-1.0,-2.0,1.0,1.0,-2.0,0.0,2.0,-4.0,19.0,-7,-15.0,-4.0,0,0,0,0,10,37,37,Home Win,6.0,1.0,5.0,7.0
Crystal Palace,Aston Villa,2014/2015,2014-12-02,M Oliver,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,0.0,2.0,0.0,-1,-15.0,-1.0,0,0,0,0,5,14,14,Home Loss,0.0,1.0,-1.0,1.0
Hull,Aston Villa,2014/2015,2015-02-10,M Oliver,0.0,-2.0,2.0,0.0,1.0,-1.0,1.0,0.0,-1.0,4.0,-2.0,2,-3.0,10.0,0,0,0,0,7,25,25,Home Win,2.0,0.0,2.0,2.0
Leicester,Aston Villa,2014/2015,2015-01-10,M Oliver,-1.0,-2.0,3.0,0.0,-2.0,2.0,1.0,-2.0,1.0,-1.0,-8.0,8,3.0,1.0,0,0,1,0,6,21,21,Home Win,1.0,0.0,1.0,1.0
Burnley,Aston Villa,2014/2015,2014-11-29,G Scott,0.0,1.0,-1.0,-1.0,1.0,0.0,2.0,-2.0,0.0,1.0,-2.0,2,0.0,1.0,0,0,1,0,4,13,13,Draw,1.0,1.0,0.0,2.0
Newcastle,Everton,2014/2015,2014-12-28,C Pawson,1.0,-2.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,-2.0,2.0,-2,-11.0,1.0,0,0,0,0,5,19,19,Home Win,3.0,2.0,1.0,5.0
